Country;Total cases;Total;Total recovered;Active cases;Serious / Critical;Total cases / 1M pop;Deaths / 1M pop;Total tests;Tests / 1M pop
USA;1,666,828;98,683 ;446,914;1,121,231;17,133;5,039;298;14,357,969;43,404
Brazil;349,113;22,165 ;142,587;184,361;8,318;1,644;104;735,224;3,461
Russia;335,882;3,388 ;107,936;224,558;2,3;2,302;23;8,402,747;57,581
Spain;282,37;28,678 ;196,958;56,734;854;6,04;613;3,556,567;76,071
UK;257,154;36,675 ;N/A;N/A;1,559;3,79;541;3,348,507;49,352
Italy;229,327;32,735 ;138,84;57,752;572;3,792;541;3,391,188;56,08
France;182,469;28,332 ;64,547;89,59;1,665;2,796;434;1,384,633;21,218
Germany;179,986;8,366 ;160,3;11,32;919;2,149;100;3,595,059;42,923
Turkey;155,686;4,308 ;117,602;33,776;775;1,848;51;1,807,673;21,458
Iran;133,521;7,359 ;104,072;22,09;2,633;1,592;88;781,286;9,315
India;131,92;3,869 ;54,441;73,61;8,944;96;3;2,943,421;2,135
Peru;115,754;3,373 ;47,915;64,466;909;3,516;102;788,341;23,946
Canada;83,621;6,355 ;43,305;33,961;502;2,218;169;1,431,911;37,974
China;82,974;4,634 ;78,261;79;8;58;3;;
Saudi Arabia;70,161;379 ;41,236;28,546;339;2,019;11;684,615;19,698
Mexico;65,856;7,179 ;44,919;13,758;378;511;56;215,656;1,674
Chile;65,393;673 ;26,546;38,174;1,062;3,424;35;457,332;23,945
Belgium;56,81;9,237 ;15,155;32,418;259;4,904;797;768,706;66,357
Pakistan;54,601;1,133 ;17,198;36,27;111;248;5;473,607;2,149
Netherlands;45,064;5,811 ;N/A;N/A;227;2,631;339;313,755;18,315
Qatar;42,213;21 ;8,513;33,679;177;14,679;7;184,794;64,26
Ecuador;36,258;3,096 ;3,557;29,605;208;2,058;176;105,462;5,987
Belarus;35,244;194 ;13,528;21,522;92;3,73;21;434,618;45,993
Sweden;33,188;3,992 ;4,971;24,225;265;3,288;396;209,9;20,797
Bangladesh;32,078;452 ;6,486;25,14;1;195;3;234,675;1,426
Singapore;31,068;23 ;13,882;17,163;8;5,315;4;294,414;50,366
Switzerland;30,725;1,905 ;28;820;51;3,553;220;367,037;42,442
Portugal;30,471;1,302 ;7,705;21,464;80;2,987;128;689,705;67,62
UAE;28,704;244 ;14,495;13,965;1;2,906;25;1,600,923;162,076
Ireland;24,582;1,604 ;21,06;1,918;54;4,984;325;295,626;59,942
Indonesia;21,745;1,351 ;5,249;15,145;;80;5;239,74;877
South Africa;21,343;407 ;10,104;10,832;119;360;7;564,37;9,529
Ukraine;20,986;617 ;7,108;13,261;256;480;14;285,626;6,527
Poland;20,931;993 ;9,194;10,744;160;553;26;750,939;19,839
Kuwait;20,464;148 ;5,747;14,569;192;4,8;35;268,154;62,892
Colombia;20,177;705 ;4,718;14,754;136;397;14;243,119;4,783
Romania;17,857;1,176 ;11,187;5,494;196;928;61;361,566;18,782
Israel;16,712;279 ;14,093;2,34;45;1,817;30;537,489;58,438
Japan;16,536;808 ;13,244;2,484;174;131;6;268,477;2,122
Egypt;16,513;735 ;4,628;11,15;41;162;7;135;1,322
Austria;16,486;639 ;15,037;810;28;1,832;71;396,363;44,035
Dominican Republic;14,422;458 ;7,854;6,11;113;1,331;42;65,355;6,031
Philippines;13,777;863 ;3,177;9,737;81;126;8;287,294;2,626
Argentina;11,353;445 ;3,53;7,378;171;251;10;125,893;2,788
Denmark;11,289;561 ;9,836;892;19;1,95;97;526,285;90,894
S. Korea;11,19;266 ;10,213;711;15;218;5;820,289;16,001
Serbia;11,092;238 ;5,699;5,155;12;1,269;27;214,212;24,507
Panama;10,577;299 ;6,279;3,999;72;2,456;69;56,755;13,176
Afghanistan;9,998;216 ;1,04;8,742;19;257;6;29,417;758
Czechia;8,89;314 ;6,044;2,532;29;830;29;394,499;36,845
Bahrain;8,802;13 ;4,465;4,324;8;5,195;8;276,552;163,208
Norway;8,346;235 ;7,727;384;13;1,541;43;229,769;42,418
Kazakhstan;8,322;35 ;4,214;4,073;31;444;2;657,214;35,046
Algeria;8,113;592 ;4,426;3,095;22;185;14;;
Nigeria;7,526;221 ;2,174;5,131;7;37;1;43,328;211
Morocco;7,406;198 ;4,638;2,57;1;201;5;133,561;3,623
Oman;7,257;36 ;1,848;5,373;31;1,425;7;72;14,141
Malaysia;7,185;115 ;5,912;1,158;9;222;4;500,469;15,484
Australia;7,114;102 ;6,508;504;5;279;4;1,224,627;48,084
Moldova;6,994;242 ;3,452;3,3;286;1,733;60;40,565;10,054
Armenia;6,661;81 ;3,064;3,516;10;2,248;27;50,397;17,011
Ghana;6,617;31 ;1,978;4,608;16;213;1.0;193,705;6,248
Finland;6,568;306 ;4,8;1,462;21;1,186;55;165,6;29,893
Bolivia;5,915;240 ;609;5,066;3;507;21;14,803;1,27
Cameroon;4,4;159 ;1,822;2,419;28;166;6;;
Iraq;4,272;152 ;2,585;1,535;;106;4;181,882;4,533
Luxembourg;3,99;109 ;3,758;123;8;6,385;174;66,653;106,668
Azerbaijan;3,982;49 ;2,506;1,427;42;393;5;265,067;26,168
Honduras;3,743;174 ;455;3,114;13;379;18;11,82;1,195
Hungary;3,741;486 ;1,69;1,565;28;387;50;162,925;16,861
Sudan;3,628;146 ;424;3,058;;83;3;401;9
Guinea;3,176;20 ;1,631;1,525;24;243;2;13,726;1,048
Uzbekistan;3,132;13 ;2,532;587;4;94;0.4;460;13,766
Guatemala;3,054;55 ;244;2,755;5;171;3;25,464;1,424
Thailand;3,04;56 ;2,921;63;61;44;0.8;328,073;4,701
Senegal;2,976;34 ;1,416;1,526;6;178;2;34,082;2,042
Greece;2,876;171 ;1,374;1,331;20;276;16;152,998;14,672
Tajikistan;2,738;44 ;1,223;1,471;;288;5;;
Bulgaria;2,427;130 ;840;1,457;29;349;19;74,096;10,656
Bosnia and Herzegovina;2,391;141 ;1,662;588;4;728;43;58,694;17,879
Ivory Coast;2,366;30 ;1,188;1,148;;90;1;22,233;845
Djibouti;2,27;10 ;1,064;1,196;;2,301;10;22,097;22,401
Croatia;2,243;99 ;2,023;121;6;546;24;60,864;14,817
DRC;2,025;63 ;312;1,65;;23;0.7;;
North Macedonia;1,941;113 ;1,411;417;21;932;54;24,762;11,885
Gabon;1,934;12 ;459;1,463;10;871;5;9,908;4,464
Cuba;1,931;81 ;1,671;179;4;170;7;92,629;8,177
Estonia;1,821;64 ;1,526;231;2;1,373;48;75,249;56,73
El Salvador;1,819;35 ;575;1,209;25;281;5;70,225;10,832
Iceland;1,804;10 ;1,791;3;;5,29;29;58,225;170,742
Lithuania;1,616;63 ;1,135;418;17;593;23;264,882;97,174
Somalia;1,594;61 ;204;1,329;2;101;4;;
Mayotte;1,521;19 ;894;608;11;5,591;70;5,2;19,113
Slovakia;1,504;28 ;1,28;196;1;275;5;156,765;28,715
New Zealand;1,504;21 ;1,456;27;1;312;4;259,152;53,787
Slovenia;1,468;106 ;1,34;22;4;706;51;75,11;36,13
Kyrgyzstan;1,403;14 ;980;409;5;215;2;98,281;15,091
Maldives;1,313;4 ;128;1,181;9;2,434;7;11,775;21,826
Kenya;1,192;50 ;380;762;1;22;0.9;57,65;1,075
Guinea-Bissau;1,114;6 ;42;1,066;;568;3;1,5;764
Lebanon;1,097;26 ;667;404;4;161;4;71,814;10,517
Sri Lanka;1,089;9 ;660;420;1;51;0.4;53,092;2,48
Hong Kong;1,066;4 ;1,029;33;1;142;0.5;202,93;27,091
Tunisia;1,048;48 ;914;86;3;89;4;47,649;4,036
Latvia;1,047;22 ;712;313;2;555;12;99,049;52,457
Mali;1,015;63 ;574;378;;50;3;3,483;173
Venezuela;1,01;10 ;262;738;2;36;0.4;771,276;27,116
Albania;989;31 ;783;175;5;344;11;13,133;4,563
Equatorial Guinea;960;11 ;165;784;;687;8;854;611
Niger;943;61 ;775;107;;39;3;5,989;248
Cyprus;927;17 ;594;316;10;768;14;99,733;82,667
Zambia;920;7 ;336;577;1;50;0.4;20,011;1,092
Costa Rica;918;10 ;607;301;4;180;2;22,91;4,502
Haiti;865;26 ;22;817;;76;2;2,718;239
Paraguay;850;11 ;298;541;;119;2;23,805;3,342
Burkina Faso;814;52 ;672;90;;39;2;;
Uruguay;764;22 ;616;126;5;220;6;37,59;10,825
Andorra;762;51 ;653;58;3;9,864;660;3,75;48,542
Georgia;730;12 ;522;196;6;183;3;45,707;11,456
Diamond Princess;712;13 ;651;48;4;;;;
Jordan;704;9 ;470;225;5;69;0.9;161,722;15,867
San Marino;665;42 ;266;357;1;19,603;1,238;3,968;116,967
South Sudan;655;8 ;6;641;;59;0.7;3,356;300
Chad;648;60 ;204;384;;40;4;;
Sierra Leone;621;39 ;241;341;;78;5;;
Malta;609;6 ;473;130;1;1,38;14;59,511;134,816
Nepal;584;3 ;70;511;1;20;0.1;132,195;4,546
Channel Islands;558;45 ;508;5;;3,213;259;10,255;59,041
CAR;552;1 ;18;533;;115;0.2;11,57;2,4
Jamaica;550;9 ;200;341;1;186;3;9,923;3,353
Tanzania;509;21 ;183;305;7;9;0.4;;
Ethiopia;494;5 ;151;338;;4;0.04;76,962;671
Madagascar;488;2 ;138;348;4;18;0.07;5,67;205
Congo;487;16 ;147;324;;89;3;;
Réunion;452;1 ;411;40;2;505;1;17,2;19,226
Taiwan;441;7 ;414;20;;19;0.3;70,697;2,969
Palestine;423;3 ;348;72;;83;0.6;44,876;8,82
Togo;373;12 ;133;228;;45;1;15,987;1,936
